#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
52,Freddie Freeman,LAD,99,374,426,105,65,23,1,15,57,58,44,5,76,5,3,0,5,1,0.281
53,Wyatt Langford,TEX,84,315,362,79,47,16,2,14,49,44,41,2,83,3,2,0,13,3,0.25
54,Andy Pages,LAD,93,368,403,96,60,20,1,16,52,55,26,1,90,6,3,1,8,3,0.262
55,Gabriel Moreno,ARI,74,260,293,72,50,14,1,7,36,36,28,2,51,2,2,0,3,1,0.276
56,Adley Rutschman,BAL,92,329,373,85,55,17,1,12,44,46,39,1,58,2,3,0,1,0,0.257
57,Masyn Winn,STL,99,390,429,98,68,20,2,8,51,42,31,0,78,4,3,2,10,2,0.251
58,Riley Greene,DET,100,384,431,100,60,19,2,19,57,60,41,1,120,3,3,0,3,1,0.259
59,Jackson Chourio,MIL,99,393,429,107,66,23,2,16,60,58,28,2,86,3,3,1,16,4,0.272
60,Iván Herrera,STL,96,346,404,93,62,17,1,13,52,49,46,2,78,9,3,1,6,2,0.268
61,Willy Adames,SFG,101,384,435,88,52,19,1,17,55,54,45,1,112,3,3,0,7,2,0.23
62,Manny Machado,SDP,96,374,416,96,62,17,0,17,53,57,38,3,81,2,3,0,6,2,0.258
63,Cody Bellinger,NYY,94,365,408,95,60,17,2,15,54,56,37,2,60,2,4,0,8,2,0.26
64,Xavier Edwards,MIA,94,363,408,103,81,16,3,3,51,33,38,1,56,2,3,3,17,4,0.284
65,Pete Alonso,BAL,101,381,436,97,54,19,1,23,58,67,43,3,100,8,3,0,2,1,0.253
66,Michael Harris II,ATL,92,374,399,101,66,18,2,15,49,52,18,1,77,3,3,1,12,3,0.27
67,Kyle Schwarber,PHI,104,371,449,85,42,14,1,28,66,70,69,2,127,6,3,0,4,1,0.228
68,Austin Riley,ATL,98,381,422,97,59,19,1,18,55,57,34,1,109,5,3,0,2,1,0.255
69,Taylor Ward,BAL,99,369,426,92,56,19,1,16,55,53,50,0,97,4,3,0,3,1,0.25
70,Ian Happ,CHC,99,364,426,88,53,19,1,15,57,53,57,2,102,3,3,0,5,2,0.243
71,J.P. Crawford,SEA,93,346,404,84,59,16,1,8,47,38,50,1,76,3,2,2,4,1,0.243
72,Kazuma Okamoto,TOR,89,341,386,82,48,16,0,18,47,54,37,2,79,5,2,0,1,0,0.241
73,Dillon Dingler,DET,78,281,307,70,45,15,1,10,34,40,20,1,73,5,2,0,1,0,0.249
