#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
334,Marcell Ozuna,PIT,74,279,318,67,43,12,0,12,36,38,34,1,77,2,2,1,1,0,0.24
335,Jeremiah Jackson,BAL,43,174,186,41,26,9,0,6,20,24,8,0,46,1,1,1,3,1,0.236
336,Angel Martínez,CLE,78,308,337,73,48,16,1,8,37,36,21,0,70,4,3,2,7,3,0.238
337,Jasson Domínguez,NYY,36,138,156,34,23,6,1,5,19,18,15,0,37,1,1,1,7,1,0.247
338,Mitch Garver,SEA,28,97,112,20,13,4,0,3,12,12,13,0,31,1,1,0,1,0,0.205
339,Nick Sogard,BOS,31,117,134,28,20,6,0,2,14,12,15,0,28,1,1,1,3,1,0.237
340,Alex Jackson,MIN,17,60,66,13,8,3,0,3,8,8,4,0,21,1,0,0,0,0,0.224
341,Chandler Simpson,TBR,84,337,363,90,74,13,2,1,40,25,20,0,46,0,3,2,34,7,0.267
342,Agustín Ramírez,MIA,29,110,122,27,17,6,0,4,14,15,9,0,26,1,1,0,3,1,0.248
343,Moisés Ballesteros,CHC,41,158,175,41,27,8,0,5,20,21,14,0,34,1,1,1,0,0,0.257
344,Nathan Church,STL,43,171,187,42,31,7,0,3,19,17,11,0,31,2,1,1,5,2,0.244
345,Derek Hill,CHW,28,109,119,25,17,4,1,3,13,12,8,0,33,1,1,1,5,1,0.232
346,José Tena,WSN,35,137,150,35,24,7,1,3,17,15,10,0,38,1,1,1,4,2,0.256
347,Tristan Peters,CHW,37,143,160,32,22,6,1,3,17,14,14,0,34,1,1,1,3,1,0.225
348,Jonah Heim,ATH,26,95,105,22,15,5,0,3,11,11,8,0,20,1,1,1,1,0,0.232
349,Hunter Feduccia,TBR,50,174,198,36,25,7,1,4,20,17,21,0,54,1,1,1,0,0,0.21
350,Christian Moore,LAA,22,83,95,19,12,4,1,3,12,10,10,0,28,1,1,0,2,1,0.232
351,Heriberto Hernández,MIA,32,119,136,28,17,6,1,4,16,16,14,0,38,1,1,1,2,1,0.231
352,Thomas Saggese,STL,28,111,121,27,19,6,0,3,13,13,7,0,31,1,1,1,2,1,0.246
353,Justin Foscue,TEX,32,122,137,27,17,6,0,4,14,15,12,0,29,2,1,1,1,0,0.22
354,Connor Norby,MIA,72,282,313,67,43,14,0,9,33,35,24,0,83,4,2,1,6,2,0.238
