#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,SO%
340,Justin Sterner,ATH,2,2,4.11,36,1,,,,39,166,35,20,18,5,14,,2,40,0.241
341,Kai-Wei Teng,HOU,3,4,4.82,20,9,,,,56,244,51,33,30,7,27,,7,55,0.225
341,Kai Wei Teng,HOU,3,4,4.82,20,9,,,,56,244,51,33,30,7,27,,7,55,0.225
342,Adam Macko,TOR,2,3,4.54,13,8,,,,40,174,39,22,20,5,16,,4,35,0.201
343,Grant Wolfram,BAL,3,2,3.67,28,0,,,,33,142,31,15,14,3,13,,3,34,0.239
344,Eduard Bazardo,SEA,3,2,3.62,39,0,,,,42,176,36,18,17,4,15,,2,41,0.233
345,Yennier Cano,BAL,3,2,3.5,41,0,,,,36,154,35,15,14,3,11,,1,32,0.208
346,Chayce McDermott,LAD,2,3,4.76,13,8,,,,40,176,37,23,21,6,20,,2,40,0.227
347,Easton McGee,MIL,2,1,3.99,17,3,,,,33,138,31,16,15,4,9,,2,28,0.203
348,Bryan Abreu,HOU,3,2,3.56,41,0,,,,41,176,31,18,16,4,23,,3,54,0.307
349,Jaden Hill,COL,1,2,4.29,29,1,,,,32,135,28,16,15,3,13,,3,34,0.252
350,Tommy Nance,TOR,2,1,3.6,29,0,,,,32,136,30,14,13,3,11,,1,33,0.243
351,Kevin Kelly,TBR,3,3,3.79,39,1,,,,40,165,37,18,17,4,9,,4,34,0.206
352,Cody Laweryson,MIN,1,1,4.12,20,1,,,,27,117,27,14,13,3,9,,2,25,0.214
353,Ryan Yarbrough,NYY,2,2,4.49,16,4,,,,42,179,41,23,21,6,13,,4,34,0.19
354,Erik Sabrowski,CLE,2,1,3.45,29,0,,,,29,124,20,12,11,3,18,,1,41,0.331
355,Danny Coulombe,BOS,1,1,3.66,31,1,,,,24,104,23,11,10,2,10,,1,22,0.212
356,Steven Okert,HOU,1,1,3.79,38,1,,,,36,150,30,16,15,5,13,,2,39,0.26
357,Connor Seabold,TOR,2,3,4.89,18,6,,,,45,198,47,27,25,7,16,,4,39,0.197
358,Spencer Miles,TOR,1,1,3.79,14,3,,,,24,102,22,11,10,3,9,,0,24,0.235
