#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
245,Juan Morillo,ARI,1,1,3.81,40,0,0,8,,28.1,122,25,13,12,2,13,1,2,27
246,Ryan Fernandez,STL,1,1,4.07,33,0,0,3,,25.1,108,23,12,11,3,10,1,1,27
247,Patrick Corbin,TOR,4,6,5.63,19,14,0,0,,70.1,310,79,47,44,12,26,0,2,54
248,Daniel Palencia,CHC,2,1,3.98,43,0,22,1,,29.2,127,25,14,13,3,13,1,2,32
249,Chris Martin,TEX,1,1,4.03,39,0,1,8,,25.1,105,26,12,11,3,4,1,1,20
250,Bryan King,HOU,2,1,3.83,43,0,3,8,,30.2,130,27,14,13,3,12,1,2,27
251,David Sandlin,CHW,3,5,5.23,18,10,0,0,,54.2,239,56,34,32,10,21,0,2,46
252,Rhett Lowder,CIN,3,5,5.25,20,12,0,0,,63.2,279,69,40,37,10,23,0,3,44
253,Andrew Nardi,MIA,1,1,4.07,39,0,1,8,,28,119,24,14,13,4,11,1,1,31
254,Erik Miller,SFG,1,1,3.71,41,0,4,9,,27.2,120,22,12,11,2,16,1,1,29
255,Caleb Thielbar,CHC,2,1,3.85,40,0,1,10,,27.2,116,23,13,12,4,11,1,1,29
256,Tanner Gordon,COL,3,5,5.87,26,10,0,0,,64.1,285,78,45,42,12,17,1,2,50
